cves , cves1_pmn, cves2_pmn , cves3_pmn , cves4_pmn,madmex_rastercode
BS/BB,13581.36,14737.95,15266.7,13454.82,1
BQ/BQP,11875697.37,11989915.74,11547386.37,11341631.43,2
BA/BP/BJ,5843650.14,6295300.74,6410279.16,6081291.36,3
MK/MSM/MST/MKE,3468319.11,3599663.76,3669104.07,3591290.25,4
MDM/MKX/VG,25745644.62,25495404.3,25403624.91,26251145.73,5
ML,1731310.2,1780223.85,1793182.77,1831281.21,6
MC,1194987.69,1245200.85,1189163.61,1056449.34,7
BM/SBP,1280382.12,1304506.53,1404360.54,1446706.71,8
SBC/SBK/SBS,9800817.66,9519603.75,9508348.17,9476295.93,9
BG/VP/VPN/SBQ/SG/SMQ,5950330.29,5854232.25,5625778.32,5615905.23,10
SAQ,132081.21,131600.97,133625.43,139953.6,11
SAP/SMP,2585823.21,2462658.84,2433905.91,2395571.4,12
SMC/SMS,3385921.86,3309809.94,3299682.6,3219791.04,13
VT,819447.57,831600.45,926122.14,914080.5,14
VA,92269.98,101076.03,127476,128696.31,15
VM/PT,861828.66,844942.86,860895,832560.39,16
MSCC,2244937.86,2193678.54,2174066.19,2225433.42,17
MSN,629678.61,582787.08,554122.8,558073.53,18
MSC,5392278.72,5461691.04,5597296.11,5280370.02,19
VU,152384.13,154658.52,158878.89,171107.1,20
MDR,10249816.86,10396964.43,10750103.28,10025239.05,21
MET,3063978.72,3273608.88,3421648.98,3331795.32,22
MRC,473747.4,466952.58,495659.97,433966.41,23
VD,2178011.07,2299250.07,2211593.49,2246549.4,24
VHH,428264.01,510164.28,500862.51,511077.33,25
VY/VH,3395757.06,3039045.21,2958367.41,3305886.12,26
PC/PY/PH/PI/PN/VW/VS/VSI,32558611.14,32212174.05,31782904.56,31605511.5,27
HA/RA/TA,32201750.34,32063662.44,32060808.63,33054686.28,28
H2O/ACUI,1128249.09,1109270.79,1169122.77,1221517.53,29
ADV/DV,1114505.91,1139401.44,1066770.72,1203963.21,30
ZU/AH,1220821.92,1259693.01,1345082.76,1500720.48,31
B/Vsa,6700971.06,7023607.65,6948761.13,6661438.65,100
BC/BI,26804.43,19738.44,64069.65,19165.77,123
BPQ/MJ,6109357.5,6576128.37,6543166.14,6529599.27,124
S/Vsa,9860181.12,9505340.82,9518304.33,9504685.35,200