combinacion_,Dinamica
MXL/S - AH,DEFORESTACION
MXL/S - BCO/P,PERMANENCIA
MXL/S - BCO/S,PERMANENCIA
MXL/S - BE/P,PERMANENCIA
MXL/S - BE/S,PERMANENCIA
MXL/S - EOTL/P,PERMANENCIA
MXL/S - EOTL/S,PERMANENCIA
MXL/S - MXL/P,RECUPERACION
MXL/S - MXL/S,PERMANENCIA
MXL/S - MXnL/P,DEFORESTACION PRADERA
MXL/S - MXnL/S,DEFORESTACION PRADERA
MXL/S - OT,DEFORESTACION
MXL/S - P,DEFORESTACION PRADERA
MXL/S - SC/P,PERMANENCIA
MXL/S - SC/S,PERMANENCIA
MXL/S - VHL/P,PERMANENCIA
MXL/S - VHnL/P,DEFORESTACION PRADERA
MXnL/P - ACUI,PERDIDA PRADERAS
MXnL/P - AGR_AN,PERDIDA PRADERAS
MXnL/P - AGR_PER,PERDIDA PRADERAS
MXnL/P - AH,PERDIDA PRADERAS
MXnL/P - BCO/P,REFORESTACION
MXnL/P - BCO/S,REFORESTACION
MXnL/P - BE/P,REFORESTACION
MXnL/P - BE/S,REFORESTACION
MXnL/P - BM/P,REFORESTACION
MXnL/P - EOTL/P,PERMANENCIA
MXnL/P - EOTL/S,REFORESTACION
MXnL/P - EOTnL/P,PERMANENCIA PRADERA
MXnL/P - MXL/P,REFORESTACION
MXnL/P - MXL/S,REFORESTACION
MXnL/P - MXnL/P,PERMANENCIA PRADERA
MXnL/P - MXnL/S,PERMANENCIA PRADERA
MXnL/P - OT,PERDIDA PRADERAS
MXnL/P - P,PERMANENCIA PRADERA
MXnL/P - SC/P,REFORESTACION
MXnL/P - SC/S,REFORESTACION
MXnL/P - SP/P,REFORESTACION
MXnL/P - SP/S,REFORESTACION
MXnL/P - SSC/P,REFORESTACION
MXnL/P - SSC/S,REFORESTACION
MXnL/P - VHL/P,REFORESTACION
MXnL/P - VHL/S,REFORESTACION
MXnL/P - VHnL/P,PERMANENCIA PRADERA
MXnL/S - ACUI,PERDIDA PRADERAS
MXnL/S - AGR_AN,PERDIDA PRADERAS
MXnL/S - AGR_PER,PERDIDA PRADERAS
MXnL/S - AH,PERDIDA PRADERAS
MXnL/S - BCO/P,REFORESTACION
MXnL/S - BCO/S,REFORESTACION
MXnL/S - BE/P,REFORESTACION
MXnL/S - BE/S,REFORESTACION
MXnL/S - EOTL/P,REFORESTACION
MXnL/S - EOTL/S,REFORESTACION
MXnL/S - MXL/P,REFORESTACION
MXnL/S - MXL/S,REFORESTACION
MXnL/S - MXnL/P,PERMANENCIA PRADERA
MXnL/S - MXnL/S,PERMANENCIA PRADERA
MXnL/S - OT,PERDIDA PRADERAS
MXnL/S - P,PERMANENCIA PRADERA
MXnL/S - SC/P,REFORESTACION
MXnL/S - SC/S,REFORESTACION
MXnL/S - VHL/P,REFORESTACION
MXnL/S - VHL/S,REFORESTACION
OT - ACUI,NO APLICA
OT - AGR_AN,NO APLICA
OT - AGR_PER,NO APLICA
OT - AH,NO APLICA
OT - BC,REFORESTACION
OT - BCO/P,REFORESTACION
OT - BCO/S,REFORESTACION
OT - BE/P,REFORESTACION
OT - BE/S,REFORESTACION
OT - EOTL/S,REFORESTACION
OT - EOTnL/P,RECUPERACION PRADERA
OT - MXL/P,REFORESTACION
OT - MXL/S,REFORESTACION
OT - MXnL/P,RECUPERACION PRADERA
OT - MXnL/S,RECUPERACION PRADERA
OT - OT,NO APLICA
OT - P,RECUPERACION PRADERA
OT - SC/P,REFORESTACION
OT - SC/S,REFORESTACION
OT - SP/P,REFORESTACION
OT - SP/S,REFORESTACION
OT - SSC/P,REFORESTACION
OT - SSC/S,REFORESTACION
OT - VHL/P,REFORESTACION
OT - VHL/S,REFORESTACION
OT - VHnL/P,RECUPERACION PRADERA
P - ACUI,PERDIDA PRADERAS
P - AGR_AN,PERDIDA PRADERAS
P - AGR_PER,PERDIDA PRADERAS
P - AH,PERDIDA PRADERAS
P - BC,REFORESTACION
P - BCO/P,REFORESTACION
P - BCO/S,REFORESTACION
P - BE/P,REFORESTACION
P - BE/S,REFORESTACION
P - BM/P,REFORESTACION
P - BM/S,REFORESTACION
P - EOTL/P,REFORESTACION
P - EOTL/S,REFORESTACION
P - EOTnL/P,PERMANENCIA PRADERA
P - MXL/P,REFORESTACION
P - MXL/S,REFORESTACION
P - MXnL/P,PERMANENCIA PRADERA
P - MXnL/S,PERMANENCIA PRADERA
P - OT,PERDIDA PRADERAS
P - P,PERMANENCIA PRADERA
P - SC/P,REFORESTACION
P - SC/S,REFORESTACION
P - SP/P,REFORESTACION
P - SP/S,REFORESTACION
P - SSC/P,REFORESTACION
P - SSC/S,REFORESTACION
P - VHL/P,REFORESTACION
P - VHL/S,REFORESTACION
P - VHnL/P,PERMANENCIA PRADERA
PE - PE,NO APLICA
SC/P - ACUI,DEFORESTACION
SC/P - AGR_AN,DEFORESTACION
SC/P - AGR_PER,DEFORESTACION
SC/P - AH,DEFORESTACION
SC/P - BC,PERMANENCIA
SC/P - BCO/P,PERMANENCIA
SC/P - BCO/S,PERMANENCIA
SC/P - BE/P,PERMANENCIA
SC/P - BE/S,PERMANENCIA
SC/P - BM/P,PERMANENCIA
SC/P - BM/S,PERMANENCIA
SC/P - EOTL/P,PERMANENCIA
SC/P - EOTL/S,PERMANENCIA
SC/P - EOTnL/P,DEFORESTACION PRADERA
SC/P - MXL/P,PERMANENCIA
SC/P - MXL/S,PERMANENCIA
SC/P - MXnL/P,DEFORESTACION PRADERA
SC/P - MXnL/S,DEFORESTACION PRADERA
SC/P - OT,DEFORESTACION
SC/P - P,DEFORESTACION PRADERA
SC/P - SC/P,PERMANENCIA
SC/P - SC/S,DEGRADACION
SC/P - SP/P,PERMANENCIA
SC/P - SP/S,PERMANENCIA
SC/P - SSC/P,PERMANENCIA
SC/P - SSC/S,PERMANENCIA
SC/P - VHL/P,PERMANENCIA
SC/P - VHL/S,PERMANENCIA
SC/P - VHnL/P,DEFORESTACION PRADERA
SC/S - ACUI,DEFORESTACION
SC/S - AGR_AN,DEFORESTACION
SC/S - AGR_PER,DEFORESTACION
SC/S - AH,DEFORESTACION
SC/S - BCO/P,PERMANENCIA
SC/S - BCO/S,PERMANENCIA
SC/S - BE/P,PERMANENCIA
SC/S - BE/S,PERMANENCIA
SC/S - BM/P,PERMANENCIA
SC/S - EOTL/P,PERMANENCIA
SC/S - EOTL/S,PERMANENCIA
SC/S - EOTnL/P,DEFORESTACION PRADERA
SC/S - MXL/P,PERMANENCIA
SC/S - MXL/S,PERMANENCIA
SC/S - MXnL/P,DEFORESTACION PRADERA
SC/S - OT,DEFORESTACION
SC/S - P,DEFORESTACION PRADERA
SC/S - SC/P,RECUPERACION
SC/S - SC/S,PERMANENCIA
SC/S - SP/P,PERMANENCIA
SC/S - SP/S,PERMANENCIA
SC/S - SSC/P,PERMANENCIA
SC/S - SSC/S,PERMANENCIA
SC/S - VHL/P,PERMANENCIA
SC/S - VHL/S,PERMANENCIA
SC/S - VHnL/P,DEFORESTACION PRADERA
SP/P - AGR_AN,DEFORESTACION
SP/P - AGR_PER,DEFORESTACION
SP/P - AH,DEFORESTACION
SP/P - BC,PERMANENCIA
SP/P - BCO/P,PERMANENCIA
SP/P - BCO/S,PERMANENCIA
SP/P - BE/P,PERMANENCIA
SP/P - BE/S,PERMANENCIA
SP/P - BM/P,PERMANENCIA
SP/P - BM/S,PERMANENCIA
SP/P - EOTL/P,PERMANENCIA
SP/P - EOTL/S,PERMANENCIA
SP/P - EOTnL/P,DEFORESTACION PRADERA
SP/P - OT,DEFORESTACION
SP/P - P,DEFORESTACION PRADERA
SP/P - SC/P,PERMANENCIA
SP/P - SC/S,PERMANENCIA
SP/P - SP/P,PERMANENCIA
SP/P - SP/S,DEGRADACION
SP/P - SSC/P,PERMANENCIA
SP/P - SSC/S,PERMANENCIA
SP/P - VHL/P,PERMANENCIA
SP/P - VHL/S,PERMANENCIA
SP/P - VHnL/P,DEFORESTACION PRADERA
SP/S - AGR_AN,DEFORESTACION
SP/S - AGR_PER,DEFORESTACION
SP/S - AH,DEFORESTACION
SP/S - BC,PERMANENCIA
SP/S - BCO/P,PERMANENCIA
SP/S - BCO/S,PERMANENCIA
SP/S - BE/P,PERMANENCIA
SP/S - BE/S,PERMANENCIA
SP/S - BM/P,PERMANENCIA
SP/S - BM/S,PERMANENCIA
SP/S - EOTL/S,PERMANENCIA
SP/S - EOTnL/P,DEFORESTACION PRADERA
SP/S - OT,DEFORESTACION
SP/S - P,DEFORESTACION PRADERA
SP/S - SC/P,PERMANENCIA
SP/S - SC/S,PERMANENCIA
SP/S - SP/P,RECUPERACION
SP/S - SP/S,PERMANENCIA
SP/S - SSC/P,PERMANENCIA
SP/S - SSC/S,PERMANENCIA
SP/S - VHL/P,PERMANENCIA
SP/S - VHnL/P,DEFORESTACION PRADERA
SSC/P - AGR_AN,DEFORESTACION
SSC/P - AGR_PER,DEFORESTACION
SSC/P - AH,DEFORESTACION
SSC/P - BC,PERMANENCIA
SSC/P - BCO/P,PERMANENCIA
SSC/P - BCO/S,PERMANENCIA
SSC/P - BE/P,PERMANENCIA
SSC/P - BE/S,PERMANENCIA
SSC/P - BM/P,PERMANENCIA
SSC/P - BM/S,PERMANENCIA
SSC/P - EOTL/P,PERMANENCIA
SSC/P - EOTL/S,PERMANENCIA
SSC/P - EOTnL/P,DEFORESTACION PRADERA
SSC/P - MXL/P,PERMANENCIA
SSC/P - MXnL/P,DEFORESTACION PRADERA
SSC/P - OT,DEFORESTACION
SSC/P - P,DEFORESTACION PRADERA
SSC/P - SC/P,PERMANENCIA
SSC/P - SC/S,PERMANENCIA
SSC/P - SP/P,PERMANENCIA
SSC/P - SP/S,PERMANENCIA
SSC/P - SSC/P,PERMANENCIA
SSC/P - SSC/S,DEGRADACION
SSC/P - VHL/P,PERMANENCIA
SSC/P - VHnL/P,DEFORESTACION PRADERA
SSC/S - AGR_AN,DEFORESTACION
SSC/S - AGR_PER,DEFORESTACION
SSC/S - AH,DEFORESTACION
SSC/S - BC,PERMANENCIA
SSC/S - BCO/P,PERMANENCIA
SSC/S - BCO/S,PERMANENCIA
SSC/S - BE/P,PERMANENCIA
SSC/S - BE/S,PERMANENCIA
SSC/S - BM/P,PERMANENCIA
SSC/S - BM/S,PERMANENCIA
SSC/S - EOTL/P,PERMANENCIA
SSC/S - EOTnL/P,DEFORESTACION PRADERA
SSC/S - MXL/S,PERMANENCIA
SSC/S - MXnL/P,DEFORESTACION PRADERA
SSC/S - OT,DEFORESTACION
SSC/S - P,DEFORESTACION PRADERA
SSC/S - SC/P,PERMANENCIA
SSC/S - SC/S,PERMANENCIA
SSC/S - SP/P,PERMANENCIA
SSC/S - SP/S,PERMANENCIA
SSC/S - SSC/P,RECUPERACION
SSC/S - SSC/S,PERMANENCIA
SSC/S - VHL/P,PERMANENCIA
SSC/S - VHnL/P,DEFORESTACION PRADERA
VHL/P - ACUI,DEFORESTACION
VHL/P - AGR_AN,DEFORESTACION
VHL/P - AGR_PER,DEFORESTACION
VHL/P - AH,DEFORESTACION
VHL/P - BCO/P,PERMANENCIA
VHL/P - BCO/S,PERMANENCIA
VHL/P - BE/P,PERMANENCIA
VHL/P - BE/S,PERMANENCIA
VHL/P - BM/P,PERMANENCIA
VHL/P - BM/S,PERMANENCIA
VHL/P - EOTL/P,PERMANENCIA
VHL/P - EOTL/S,PERMANENCIA
VHL/P - EOTnL/P,DEFORESTACION PRADERA
VHL/P - MXL/P,PERMANENCIA
VHL/P - MXL/S,PERMANENCIA
VHL/P - MXnL/P,DEFORESTACION PRADERA
VHL/P - MXnL/S,DEFORESTACION PRADERA
VHL/P - OT,DEFORESTACION
VHL/P - P,DEFORESTACION PRADERA
VHL/P - SC/P,PERMANENCIA
VHL/P - SC/S,PERMANENCIA
VHL/P - SP/P,PERMANENCIA
VHL/P - SP/S,PERMANENCIA
VHL/P - SSC/P,PERMANENCIA
VHL/P - SSC/S,PERMANENCIA
VHL/P - VHL/P,PERMANENCIA
VHL/P - VHL/S,DEGRADACION
VHL/P - VHnL/P,DEFORESTACION PRADERA
VHL/S - ACUI,DEFORESTACION
VHL/S - AGR_AN,DEFORESTACION
VHL/S - AGR_PER,DEFORESTACION
VHL/S - AH,DEFORESTACION
VHL/S - MXL/S,PERMANENCIA
VHL/S - MXnL/P,DEFORESTACION PRADERA
VHL/S - MXnL/S,DEFORESTACION PRADERA
VHL/S - OT,DEFORESTACION
VHL/S - P,DEFORESTACION PRADERA
VHL/S - SC/P,PERMANENCIA
VHL/S - SC/S,PERMANENCIA
VHL/S - VHL/P,RECUPERACION
VHL/S - VHL/S,PERMANENCIA
VHL/S - VHnL/P,DEFORESTACION PRADERA
VHnL/P - ACUI,PERDIDA PRADERAS
VHnL/P - AGR_AN,PERDIDA PRADERAS
VHnL/P - AGR_PER,PERDIDA PRADERAS
VHnL/P - AH,PERDIDA PRADERAS
VHnL/P - BC,REFORESTACION
VHnL/P - BE/P,REFORESTACION
VHnL/P - BM/P,PERMANENCIA
VHnL/P - EOTL/P,REFORESTACION
VHnL/P - EOTL/S,REFORESTACION
VHnL/P - EOTnL/P,PERMANENCIA PRADERA
VHnL/P - MXL/P,REFORESTACION
VHnL/P - MXL/S,REFORESTACION
VHnL/P - MXnL/P,PERMANENCIA PRADERA
VHnL/P - MXnL/S,PERMANENCIA PRADERA
VHnL/P - OT,PERDIDA PRADERAS
VHnL/P - P,PERMANENCIA PRADERA
VHnL/P - SC/P,REFORESTACION
VHnL/P - SC/S,REFORESTACION
VHnL/P - SP/P,REFORESTACION
VHnL/P - SP/S,REFORESTACION
VHnL/P - SSC/P,REFORESTACION
VHnL/P - SSC/S,REFORESTACION
VHnL/P - VHL/P,REFORESTACION
VHnL/P - VHL/S,REFORESTACION
VHnL/P - VHnL/P,PERMANENCIA PRADERA
VHnL/S - AGR_AN,PERDIDA PRADERAS
VHnL/S - VHnL/S,PERMANENCIA PRADERA
