pf_redd_clave_subcat_leno_pri_sec,pf_redd_ipcc_2003,pf_redd_ipcc_2003_eng,madmex_rastercode
ADV/DV,Otras Tierras,Unvegetated,30
BA/BP/BJ,Tierras Forestales,Forest,3
BC/BI,Tierras Forestales,Forest,123
BG/VP/VPN/SBQ/SG/SMQ,Tierras Forestales,Forest,10
BM/SBP,Tierras Forestales,Forest,8
BPQ/MJ,Tierras Forestales,Forest,124
BQ/BQP,Tierras Forestales,Forest,2
BS/BB,Tierras Forestales,Forest,1
B/Vsa,Tierras Forestales,Forest,100
H2O/ACUI,Humedales,Water,29
HA/RA/TA,Tierras Agricolas,Agriculture,28
MC,Praderas,Scrubland,7
MDM/MKX/VG,Praderas,Scrubland,5
MDR,Praderas,Scrubland,21
MET,Praderas,Scrubland,22
MK/MSM/MST/MKE,Tierras Forestales,Forest,4
ML,Tierras Forestales,Forest,6
MRC,Praderas,Scrubland,23
MSC,Praderas,Scrubland,19
MSCC,Praderas,Scrubland,17
MSN,Praderas,Scrubland,18
PC/PY/PH/PI/PN/VW/VS/VSI,Praderas,Grassland,27
SAP/SMP,Tierras Forestales,Forest,12
SAQ,Tierras Forestales,Forest,11
SBC/SBK/SBS,Tierras Forestales,Forest,9
SMC/SMS,Tierras Forestales,Forest,13
S/Vsa,Tierras Forestales,Forest,200
VA,Humedales,Wetland,15
VD,Otras Tierras,Other vegetation,24
VHH,Otras Tierras,Other vegetation,25
VM/PT,Tierras Forestales,Forest,16
VT,Humedales,Wetland,14
VU,Otras Tierras,Other vegetation,20
VY/VH,Otras Tierras,Other vegetation,26
ZU/AH,Asentamientos,Unvegetated,31